i,05/16/2017 22:36:27,Cosmos,g_pCosmosConfig is NULL,SrcFile="csthreadpoolex.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1652" Pid="6316" Tid="8628" TS="0x01D2CE8417E8DE14" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE84182F55F0" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405883926000 FinishedAt=131394405883926000"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE841831C767" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405884086119 FinishedAt=131394405884086119"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE8418344C4F" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405884251215 FinishedAt=131394405884251215"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE841836D154" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405884416340 FinishedAt=131394405884416340"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE8418395659" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405884581465 FinishedAt=131394405884581465"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE84183BA0B3" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405884726566 FinishedAt=131394405884726566"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE84183DC405" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A85C0 Latency=0 StartedAt=131394405884871685 FinishedAt=131394405884871685"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE84183FE749" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A85C0 Latency=0 StartedAt=131394405885011785 FinishedAt=131394405885011785"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE8418423214" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405885162004 FinishedAt=131394405885162004"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE8418447BE8" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405885311976 FinishedAt=131394405885311976"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE8418473B88" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405885492104 FinishedAt=131394405885492104"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE841849866A" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405885642346 FinishedAt=131394405885642346"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE84184BD042" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405885792322 FinishedAt=131394405885792322"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE84184DF390" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A85C0 Latency=0 StartedAt=131394405885932432 FinishedAt=131394405885932432"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE8418502A58" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405886077528 FinishedAt=131394405886077528"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE84185261AC" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405886222764 FinishedAt=131394405886222764"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE841854E625" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405886387749 FinishedAt=131394405886387749"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="17620" TS="0x01D2CE84185730FE" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405886537982 FinishedAt=131394405886537982"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="10844" TS="0x01D2CE8418597B00" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405886688000 FinishedAt=131394405886688000"
d,05/16/2017 22:36:28,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="6316" Tid="18040" TS="0x01D2CE84185BB1BF" String1="pThreadPool=000001F86F4A0130 Class=class AsyncCallbackJob Instance=000001F8750A83E0 Latency=0 StartedAt=131394405886833087 FinishedAt=131394405886833087"
