i,05/16/2017 22:33:55,Cosmos,g_pCosmosConfig is NULL,SrcFile="csthreadpoolex.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1652" Pid="8424" Tid="6204" TS="0x01D2CE83BCC2A507" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,05/16/2017 22:34:02,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C0F601AB" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C06C0 Latency=0 StartedAt=131394404420551083 FinishedAt=131394404420551083"
d,05/16/2017 22:34:02,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83C12B115B" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0C00 Latency=0 StartedAt=131394404424028507 FinishedAt=131394404424028507"
d,05/16/2017 22:34:02,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C135FC7D" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0480 Latency=0 StartedAt=131394404424744061 FinishedAt=131394404424744061"
d,05/16/2017 22:34:02,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C15E8705" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0EA0 Latency=0 StartedAt=131394404427400965 FinishedAt=131394404427400965"
d,05/16/2017 22:34:03,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83C190615A" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0780 Latency=0 StartedAt=131394404430668122 FinishedAt=131394404430668122"
d,05/16/2017 22:34:03,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C1B7DA29" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0180 Latency=0 StartedAt=131394404433254953 FinishedAt=131394404433254953"
d,05/16/2017 22:34:03,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C1C2EC2A" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0C60 Latency=0 StartedAt=131394404433980458 FinishedAt=131394404433980458"
d,05/16/2017 22:34:03,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83C1F59E40" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0360 Latency=0 StartedAt=131394404437302848 FinishedAt=131394404437302848"
d,05/16/2017 22:34:03,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C2014D1C" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0EA0 Latency=0 StartedAt=131394404438068508 FinishedAt=131394404438068508"
d,05/16/2017 22:34:03,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C211901D" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0180 Latency=0 StartedAt=131394404439134237 FinishedAt=131394404439134237"
d,05/16/2017 22:34:04,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83C22900B1" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C08A0 Latency=0 StartedAt=131394404440670385 FinishedAt=131394404440670385"
d,05/16/2017 22:34:04,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C26243AE" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0180 Latency=0 StartedAt=131394404444423086 FinishedAt=131394404444423086"
d,05/16/2017 22:34:04,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C29DD09B" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0600 Latency=0 StartedAt=131394404448325787 FinishedAt=131394404448325787"
d,05/16/2017 22:34:04,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83C2AE7594" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0A20 Latency=0 StartedAt=131394404449416596 FinishedAt=131394404449416596"
d,05/16/2017 22:34:05,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C2D42D19" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0780 Latency=0 StartedAt=131394404451888409 FinishedAt=131394404451888409"
d,05/16/2017 22:34:05,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C309ECE1" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C08A0 Latency=0 StartedAt=131394404455410913 FinishedAt=131394404455410913"
d,05/16/2017 22:34:05,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83C340BD96" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0420 Latency=0 StartedAt=131394404459003286 FinishedAt=131394404459003286"
d,05/16/2017 22:34:05,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C3415A7E" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0900 Latency=0 StartedAt=131394404459043454 FinishedAt=131394404459043454"
d,05/16/2017 22:34:06,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C378DB5A" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0360 Latency=0 StartedAt=131394404462680922 FinishedAt=131394404462680922"
d,05/16/2017 22:34:06,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83C3B00CB3" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0AE0 Latency=0 StartedAt=131394404466298035 FinishedAt=131394404466298035"
d,05/16/2017 22:34:06,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C3D74AD3" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0E40 Latency=0 StartedAt=131394404468869843 FinishedAt=131394404468869843"
d,05/16/2017 22:34:06,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C3E7B493" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0000 Latency=0 StartedAt=131394404469945491 FinishedAt=131394404469945491"
d,05/16/2017 22:34:07,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83C4206F1F" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C08A0 Latency=0 StartedAt=131394404473663263 FinishedAt=131394404473663263"
d,05/16/2017 22:34:07,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83C4599E51" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0DE0 Latency=0 StartedAt=131394404477410897 FinishedAt=131394404477410897"
d,05/16/2017 22:34:07,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83C46F73D1" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0420 Latency=0 StartedAt=131394404478836999 FinishedAt=131394404478836999"
